feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.11876,0.118615,0.115673,0.115771,0.118116,0.118132,0.119414,0.119487,0.120339,0.120431,0.118474
V1,0.196501,0.196861,0.186981,0.187356,0.202981,0.20354,0.207566,0.207672,0.183609,0.183875,0.195694
V2,0.0689871,0.0690386,0.0745359,0.0745076,0.0754821,0.0751988,0.079748,0.079626,0.0796824,0.0796057,0.0756412
V3,0.0932691,0.092957,0.11145,0.110308,0.0951073,0.0946144,0.0918975,0.0913089,0.0899563,0.0892541,0.0960122
V4,0.280247,0.280999,0.272539,0.273215,0.28226,0.282843,0.267466,0.268219,0.256915,0.257664,0.272236
V5,0.139091,0.138902,0.120294,0.120339,0.117375,0.11741,0.118927,0.11889,0.118173,0.118091,0.122749
V6,0.0789088,0.0795479,0.077808,0.0782637,0.0874859,0.0877006,0.0768532,0.0771587,0.0731185,0.0733468,0.0790192
V7,0.093397,0.0926493,0.085551,0.0848916,0.0898534,0.0889842,0.0938391,0.0934699,0.0901887,0.0898279,0.0902652
V8,0.107636,0.10813,0.11725,0.117371,0.120847,0.121581,0.113839,0.114155,0.114091,0.114161,0.114906
V9,0.198727,0.198625,0.223154,0.222893,0.201304,0.201573,0.225561,0.225917,0.211313,0.211683,0.212075
V10,0.184385,0.18425,0.197283,0.196721,0.204489,0.204304,0.192398,0.1919,0.198155,0.198002,0.195189
V11,0.134563,0.134056,0.119254,0.119303,0.132554,0.13224,0.128958,0.12817,0.12904,0.128445,0.128658
V12,0.254893,0.255007,0.290869,0.291215,0.266756,0.266714,0.262322,0.262165,0.279357,0.279318,0.270862
V13,0.30382,0.30443,0.288718,0.288816,0.292072,0.292414,0.305038,0.305051,0.291419,0.291439,0.296322
V14,0.347798,0.348164,0.371385,0.371561,0.387219,0.387357,0.426025,0.426054,0.373541,0.37396,0.381306
V15,0.35426,0.354843,0.366135,0.366269,0.365848,0.36681,0.356483,0.356747,0.354715,0.354801,0.359691
V16,0.213942,0.213726,0.192405,0.192152,0.216163,0.215891,0.229056,0.228935,0.213551,0.213344,0.212916
V17,0.103465,0.102621,0.0860251,0.0851773,0.0922268,0.0918864,0.0820319,0.0810946,0.0965631,0.0959606,0.0917052
V18,0.0699045,0.0702964,0.0630179,0.0634546,0.0761953,0.0763838,0.0780321,0.0779301,0.0724282,0.0727635,0.0720406
V19,0.064231,0.0641805,0.0643697,0.0641688,0.0632885,0.0632358,0.0587444,0.0586097,0.0689007,0.0684579,0.0638187
V20,0.0302406,0.0297809,0.0310234,0.0308567,0.0283125,0.0284776,0.0289719,0.0287868,0.0337709,0.0337705,0.0303992
V21,0.0266565,0.0267684,0.027279,0.0273586,0.0287047,0.0289916,0.023194,0.0237422,0.0257855,0.0260984,0.0264579
V22,0.0476539,0.0469119,0.0523922,0.0520779,0.0470224,0.0465222,0.04632,0.0460631,0.0493307,0.04849,0.0482784
V23,0.0306981,0.0304231,0.0326881,0.0320044,0.0301679,0.029661,0.0304584,0.0304947,0.0306325,0.0298319,0.030706
V24,0.0614371,0.061019,0.0639996,0.0637511,0.056591,0.0563946,0.0532793,0.0530724,0.0561406,0.0561662,0.0581851
V25,0.0579994,0.0582576,0.0623656,0.0623789,0.0551892,0.0551416,0.0545252,0.0546964,0.0554048,0.0555134,0.0571472
V26,0.0342664,0.0341898,0.0371915,0.03735,0.0331503,0.0330317,0.0314221,0.0312515,0.0329305,0.0327307,0.0337515
V27,0.0143682,0.0142976,0.0146643,0.014865,0.0142198,0.0144453,0.013629,0.0138864,0.014006,0.013935,0.0142317
V28,0.00640759,0.00659074,0.0066931,0.00677014,0.00668093,0.00660849,0.00681305,0.00657791,0.00695547,0.00683608,0.00669335
Amount,0.01061,0.0107594,0.010531,0.0105604,0.0106363,0.01102,0.0104113,0.010627,0.0106645,0.0109528,0.0106773
