k,between_mean,within_mean,within_min,within_max
1,0.5862,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.8519,1.0,1.0,1.0
4,0.8269,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.9167,1.0,1.0,1.0
7,0.8696,1.0,1.0,1.0
8,0.8636,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,0.91,1.0,1.0,1.0
11,0.8852,1.0,1.0,1.0
12,0.9028,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,0.8929,1.0,1.0,1.0
15,0.9,0.9733,0.8667,1.0
16,1.0,1.0,1.0,1.0
17,0.9186,1.0,1.0,1.0
18,0.8889,1.0,1.0,1.0
19,0.9426,1.0,1.0,1.0
20,0.94,1.0,1.0,1.0
21,0.9365,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,0.9167,1.0,1.0,1.0
25,0.904,1.0,1.0,1.0
26,0.8846,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
