feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.437243,0.43605,0.40348,0.402598,0.422787,0.420556,0.405655,0.403829,0.424724,0.421881,0.41788
V1,0.312492,0.313131,0.335847,0.335893,0.317222,0.317836,0.310241,0.310246,0.325688,0.326609,0.32052
V2,0.34088,0.342784,0.34724,0.347774,0.356627,0.357428,0.356701,0.357342,0.386091,0.3874,0.358027
V3,0.431803,0.431126,0.461304,0.460334,0.427889,0.426751,0.425311,0.425304,0.423298,0.424002,0.433712
V4,1.10887,1.11025,1.08063,1.08202,1.12029,1.12162,1.06843,1.07011,1.0512,1.05258,1.0866
V5,0.222366,0.223889,0.202596,0.202396,0.206807,0.207477,0.239649,0.240076,0.226041,0.225978,0.219728
V6,0.305827,0.305344,0.275763,0.273851,0.316057,0.315519,0.374584,0.374585,0.260381,0.258552,0.306046
V7,0.154867,0.156657,0.15056,0.152327,0.153834,0.156229,0.155286,0.156817,0.149209,0.152164,0.153795
V8,0.178452,0.18112,0.19506,0.197726,0.175936,0.178344,0.150773,0.152515,0.166147,0.168332,0.174441
V9,0.391181,0.39139,0.38976,0.390074,0.387763,0.387374,0.38335,0.383645,0.384215,0.384051,0.38728
V10,0.291275,0.293857,0.260789,0.264134,0.260724,0.264028,0.295391,0.295422,0.279145,0.279198,0.278396
V11,0.304409,0.304085,0.296939,0.296608,0.27323,0.27203,0.310556,0.309561,0.275478,0.275158,0.291805
V12,0.39313,0.394419,0.387889,0.389285,0.402901,0.403892,0.384393,0.384776,0.376422,0.376897,0.3894
V13,0.445492,0.442968,0.411862,0.409329,0.422911,0.420637,0.423333,0.420409,0.518264,0.517663,0.443287
V14,0.707405,0.70699,0.682479,0.681252,0.706091,0.705374,0.68133,0.680698,0.682714,0.682388,0.691672
V15,0.437405,0.436843,0.439735,0.437558,0.43067,0.429209,0.421301,0.42026,0.464052,0.463485,0.438052
V16,0.278548,0.2818,0.277058,0.280158,0.272248,0.275806,0.287701,0.291044,0.270158,0.273137,0.278766
V17,0.168884,0.170534,0.218389,0.221232,0.166771,0.167297,0.176296,0.177135,0.155543,0.155861,0.177794
V18,0.232951,0.233187,0.207751,0.207424,0.216469,0.217658,0.229437,0.228506,0.22156,0.221606,0.221655
V19,0.215193,0.214107,0.207128,0.205689,0.203566,0.202029,0.214749,0.21335,0.213444,0.212454,0.210171
V20,0.0505297,0.0520043,0.0566826,0.0567209,0.0516825,0.0524981,0.055827,0.0572712,0.0506525,0.0511859,0.0535055
V21,0.0662169,0.0655433,0.0873723,0.0847003,0.0681628,0.0670253,0.0647506,0.0647412,0.0705582,0.0701166,0.0709187
V22,0.163183,0.163142,0.173575,0.172951,0.175135,0.175288,0.156337,0.156873,0.15881,0.159163,0.165446
V23,0.0760504,0.0750978,0.0775558,0.075979,0.079459,0.0774735,0.0788912,0.0774719,0.073555,0.0719393,0.0763473
V24,0.117045,0.118105,0.1128,0.112938,0.110481,0.11071,0.116774,0.116848,0.125834,0.126237,0.116777
V25,0.0669323,0.0656333,0.0731506,0.0733962,0.0672346,0.0662738,0.0764868,0.0749058,0.074354,0.0734484,0.0711816
V26,0.0722343,0.0715372,0.0643894,0.0629819,0.0697831,0.0682553,0.0676802,0.0667212,0.0709665,0.0700119,0.0684561
V27,0.0282756,0.0283521,0.0292234,0.0289796,0.0275676,0.0275557,0.031383,0.0309326,0.0270274,0.0258347,0.0285132
V28,0.0278993,0.0279239,0.0300657,0.0298208,0.0274551,0.0279873,0.0265222,0.0258831,0.0266133,0.025897,0.0276068
Amount,0.0952354,0.0971943,0.0779858,0.0797553,0.078976,0.0808591,0.106168,0.108286,0.117209,0.119591,0.0961259
