k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.7037,1.0,1.0,1.0
4,0.7692,1.0,1.0,1.0
5,0.88,0.952,0.76,1.0
6,1.0,1.0,1.0,1.0
7,0.8696,1.0,1.0,1.0
8,0.9318,1.0,1.0,1.0
9,0.9365,1.0,1.0,1.0
10,0.94,1.0,1.0,1.0
11,0.878,0.9713,0.8565,1.0
12,0.8819,0.9722,0.8611,1.0
13,0.8914,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,0.8933,1.0,1.0,1.0
16,0.9464,1.0,1.0,1.0
17,0.9457,1.0,1.0,1.0
18,0.9167,1.0,1.0,1.0
19,0.8852,1.0,1.0,1.0
20,0.94,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.8975,0.9627,0.8137,1.0
24,0.8542,1.0,1.0,1.0
25,0.808,1.0,1.0,1.0
26,0.7837,0.9423,0.7115,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,0.4828,0.5862,-0.0345,1.0
30,1.0,1.0,1.0,1.0
