feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.0261521,0.0258206,0.0278759,0.0272298,0.0262266,0.0258368,0.0239618,0.0236252,0.0238927,0.023568,0.025419
V1,0.0393332,0.0398218,0.0410385,0.0413714,0.0377375,0.0380147,0.0402143,0.0406942,0.0391066,0.0397336,0.0397066
V2,0.052483,0.0521595,0.0527223,0.0520864,0.0602769,0.0595738,0.0521364,0.0517902,0.0521678,0.0517497,0.0537146
V3,0.0790996,0.0799475,0.0753989,0.0763431,0.0754531,0.0763883,0.0762009,0.0771561,0.0764219,0.0773005,0.076971
V4,0.139031,0.139362,0.156194,0.157181,0.148527,0.148949,0.143222,0.143295,0.155352,0.155995,0.148711
V5,0.0643181,0.0642391,0.0693353,0.069327,0.0680679,0.0680548,0.0625196,0.0626863,0.0618968,0.0622129,0.0652658
V6,0.0790735,0.0796071,0.0852611,0.0853653,0.0784462,0.0791058,0.0789469,0.0793554,0.0816554,0.0821043,0.0808921
V7,0.0695334,0.0686791,0.0799061,0.0786865,0.0791786,0.0788579,0.0719905,0.0705284,0.0797369,0.0785034,0.0755601
V8,0.111457,0.111052,0.102578,0.101888,0.0964753,0.0959707,0.101,0.10014,0.103381,0.102622,0.102656
V9,0.181295,0.181381,0.19855,0.198062,0.19396,0.193523,0.198656,0.198369,0.206808,0.206508,0.195711
V10,0.188316,0.188309,0.188309,0.18845,0.19588,0.196061,0.179087,0.179293,0.176538,0.176763,0.185701
V11,0.197031,0.19707,0.197582,0.197458,0.188904,0.18889,0.194959,0.194815,0.205486,0.205503,0.19677
V12,0.249109,0.248883,0.248096,0.248091,0.237109,0.237321,0.238903,0.239022,0.250599,0.25058,0.244771
V13,0.190906,0.191673,0.197286,0.197723,0.204527,0.204673,0.189546,0.190247,0.193236,0.194037,0.195385
V14,0.26406,0.263066,0.268485,0.267459,0.26137,0.260545,0.289671,0.288821,0.272634,0.272151,0.270826
V15,0.233671,0.233576,0.224539,0.224762,0.227614,0.227315,0.237089,0.237092,0.236998,0.237515,0.232017
V16,0.183238,0.183034,0.202836,0.202778,0.185646,0.185536,0.197123,0.197256,0.179353,0.179134,0.189593
V17,0.113313,0.112732,0.114115,0.113421,0.124689,0.123896,0.123401,0.12264,0.101251,0.100614,0.115007
V18,0.0909787,0.090952,0.0876015,0.0875303,0.0867588,0.0867075,0.0911387,0.0906405,0.0907369,0.0908515,0.0893896
V19,0.0866964,0.0859995,0.0866701,0.0862145,0.0914628,0.0909867,0.079087,0.0786647,0.0851561,0.0851186,0.0856057
V20,0.0353108,0.0358336,0.0342036,0.0346181,0.0356725,0.0359697,0.0343874,0.0346319,0.03494,0.0349643,0.0350532
V21,0.0174609,0.01722,0.0171657,0.016748,0.0145475,0.0141483,0.014344,0.0140783,0.0142026,0.0143687,0.0154284
V22,0.0778777,0.0779591,0.0751792,0.0751693,0.0756558,0.0760331,0.0746104,0.0749134,0.0705781,0.0711252,0.0749101
V23,0.0372961,0.0374224,0.0389386,0.0387385,0.0357371,0.0353616,0.0377453,0.0377833,0.0408076,0.0408032,0.0380634
V24,0.0915184,0.0918933,0.0836385,0.0835944,0.0835786,0.0839332,0.087674,0.0881678,0.0851337,0.08526,0.0864392
V25,0.0907949,0.0907285,0.085826,0.0859069,0.0799803,0.079445,0.0872786,0.087528,0.0823405,0.0821568,0.0851985
V26,0.0598223,0.0601087,0.0561724,0.0563811,0.0561665,0.055997,0.0548201,0.0546042,0.0571838,0.0575238,0.056878
V27,0.0227938,0.0228507,0.0201256,0.020398,0.0200955,0.0205295,0.0205462,0.0207422,0.020979,0.0209665,0.0210027
V28,0.0103856,0.0101994,0.0106522,0.0105256,0.00962887,0.00949276,0.0100174,0.00983646,0.00993011,0.00963479,0.0100303
Amount,0.0273943,0.0277856,0.0235696,0.0240806,0.0266859,0.026811,0.0230771,0.0231823,0.0228104,0.0227631,0.024816
