k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.7404,1.0,1.0,1.0
5,0.664,1.0,1.0,1.0
6,0.7292,0.9583,0.7917,1.0
7,0.8696,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,0.94,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,0.9028,1.0,1.0,1.0
13,0.9186,0.9729,0.8643,1.0
14,0.8929,1.0,1.0,1.0
15,0.9267,0.9733,0.8667,1.0
16,0.9263,0.9732,0.8661,1.0
17,0.9186,1.0,1.0,1.0
18,0.9028,0.9722,0.8611,1.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
21,0.9365,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.9255,1.0,1.0,1.0
24,0.9583,0.9583,0.7917,1.0
25,1.0,1.0,1.0,1.0
26,0.8269,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
