feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
Time,0.161685,0.161117,0.167691,0.167299,0.149526,0.149229,0.163778,0.162872,0.157159,0.156349,0.15967
V1,0.147813,0.148821,0.139538,0.139386,0.152507,0.152938,0.138211,0.138927,0.14223,0.1428,0.144317
V2,0.0634662,0.0631624,0.075844,0.0756205,0.0626863,0.0622647,0.0637077,0.0634742,0.0671377,0.0665257,0.0663889
V3,0.172462,0.171949,0.160759,0.160126,0.156566,0.156286,0.167957,0.167934,0.155399,0.155418,0.162486
V4,0.635995,0.636916,0.653899,0.654887,0.626257,0.627506,0.614069,0.615036,0.611959,0.613237,0.628976
V5,0.118403,0.118223,0.122563,0.122194,0.123393,0.123257,0.129056,0.128903,0.121704,0.121514,0.122921
V6,0.13753,0.137524,0.149698,0.149188,0.130488,0.130518,0.128008,0.127767,0.141284,0.140926,0.137293
V7,0.121299,0.120478,0.124266,0.123469,0.126859,0.126094,0.137272,0.136641,0.124704,0.123923,0.1265
V8,0.193689,0.194769,0.193714,0.194422,0.194923,0.196051,0.201934,0.203153,0.202039,0.202763,0.197746
V9,0.218431,0.219187,0.216554,0.217178,0.202537,0.203311,0.209242,0.209998,0.202312,0.202813,0.210156
V10,0.3006,0.30157,0.32354,0.324178,0.300378,0.300619,0.298162,0.298903,0.287854,0.288086,0.302389
V11,0.0780163,0.0783046,0.0773093,0.0769746,0.0920223,0.0923688,0.0716692,0.0720092,0.0729034,0.0729027,0.078448
V12,0.348397,0.349249,0.31786,0.317757,0.325109,0.325672,0.337656,0.338001,0.327069,0.327499,0.331427
V13,0.285907,0.28598,0.282067,0.282102,0.276953,0.277106,0.281991,0.282257,0.294196,0.294498,0.284306
V14,0.462234,0.461323,0.448154,0.447467,0.443313,0.442333,0.498192,0.497824,0.473778,0.472843,0.464746
V15,0.28751,0.288126,0.268875,0.269585,0.296187,0.296969,0.292768,0.293598,0.288006,0.289116,0.287074
V16,0.221778,0.221786,0.221618,0.221921,0.221967,0.221703,0.223153,0.223091,0.231562,0.231205,0.223978
V17,0.0821142,0.0812097,0.0913854,0.0909616,0.0823585,0.0814338,0.0746983,0.0737837,0.0950686,0.0941565,0.084717
V18,0.0936019,0.0944281,0.101446,0.102248,0.0921774,0.0930192,0.104499,0.105129,0.104759,0.105572,0.0996879
V19,0.0844228,0.0839657,0.0795561,0.0792283,0.0904116,0.0899053,0.0827803,0.082296,0.0856949,0.0855278,0.0843789
V20,0.0400498,0.0399244,0.0423798,0.0431376,0.037167,0.037953,0.0382584,0.0389326,0.041243,0.0421472,0.0401193
V21,0.0249065,0.0246654,0.0308364,0.0301986,0.0271202,0.0270548,0.0234687,0.022725,0.0242545,0.0235639,0.0258794
V22,0.0752444,0.075744,0.0770318,0.0779004,0.0698099,0.0697199,0.0645239,0.0650853,0.0674866,0.067646,0.0710192
V23,0.0317942,0.0317557,0.031505,0.0312166,0.0300604,0.0298594,0.02814,0.0281855,0.0321294,0.0320276,0.0306674
V24,0.0905294,0.0905065,0.0926678,0.0926354,0.0817945,0.0812788,0.0778383,0.0773753,0.0827506,0.0826866,0.0850063
V25,0.0420917,0.0423588,0.0452014,0.0454105,0.0407363,0.0408271,0.0368714,0.0371069,0.0404843,0.0407322,0.0411821
V26,0.0407806,0.040428,0.0439392,0.0440685,0.0375713,0.0373679,0.035432,0.0354223,0.0362399,0.0362888,0.0387539
V27,0.0121805,0.0125736,0.0124039,0.0131747,0.0117686,0.0124847,0.011376,0.01196,0.0114654,0.0124363,0.0121824
V28,0.00875058,0.00851506,0.00889509,0.00871415,0.00914028,0.0093113,0.00869487,0.00860267,0.00916366,0.00910609,0.00888937
Amount,0.0169731,0.0170647,0.0224187,0.0226683,0.0206079,0.0202685,0.0173383,0.0171923,0.0231242,0.0234385,0.0201095
