k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.8519,1.0,1.0,1.0
4,0.8846,1.0,1.0,1.0
5,0.832,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,0.91,1.0,1.0,1.0
11,0.9426,1.0,1.0,1.0
12,0.9444,1.0,1.0,1.0
13,0.9457,1.0,1.0,1.0
14,0.9464,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,0.8778,1.0,1.0,1.0
18,0.8611,1.0,1.0,1.0
19,0.9426,1.0,1.0,1.0
20,0.97,0.97,0.85,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.8882,1.0,1.0,1.0
24,0.875,0.9583,0.7917,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
