k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.6667,1.0,1.0,1.0
4,0.5673,1.0,1.0,1.0
5,0.544,1.0,1.0,1.0
6,0.5833,1.0,1.0,1.0
7,0.6646,1.0,1.0,1.0
8,0.6761,1.0,1.0,1.0
9,0.6825,1.0,1.0,1.0
10,0.79,1.0,1.0,1.0
11,0.799,1.0,1.0,1.0
12,0.8889,1.0,1.0,1.0
13,0.8643,1.0,1.0,1.0
14,0.8527,1.0,1.0,1.0
15,0.8267,1.0,1.0,1.0
16,0.8259,1.0,1.0,1.0
17,0.8371,1.0,1.0,1.0
18,0.8333,1.0,1.0,1.0
19,0.9139,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
