k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.7981,1.0,1.0,1.0
5,0.904,1.0,1.0,1.0
6,0.75,1.0,1.0,1.0
7,0.8509,1.0,1.0,1.0
8,0.9318,1.0,1.0,1.0
9,0.9048,1.0,1.0,1.0
10,0.94,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,0.8889,1.0,1.0,1.0
13,0.8371,1.0,1.0,1.0
14,0.8795,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,0.9464,1.0,1.0,1.0
17,0.905,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.9139,1.0,1.0,1.0
20,0.895,1.0,1.0,1.0
21,0.8413,1.0,1.0,1.0
22,0.8466,1.0,1.0,1.0
23,0.9255,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,0.8519,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,0.5862,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
