k,between_mean,within_mean,within_min,within_max
1,0.2759,1.0,1.0,1.0
2,0.6786,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.7981,1.0,1.0,1.0
5,0.688,1.0,1.0,1.0
6,0.6667,1.0,1.0,1.0
7,0.8137,1.0,1.0,1.0
8,0.8636,1.0,1.0,1.0
9,0.8889,1.0,1.0,1.0
10,0.88,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,0.905,1.0,1.0,1.0
14,0.8125,1.0,1.0,1.0
15,0.8,1.0,1.0,1.0
16,0.8527,1.0,1.0,1.0
17,0.8507,1.0,1.0,1.0
18,0.8611,1.0,1.0,1.0
19,0.8995,1.0,1.0,1.0
20,0.835,1.0,1.0,1.0
21,0.7778,1.0,1.0,1.0
22,0.7443,1.0,1.0,1.0
23,0.646,1.0,1.0,1.0
24,0.6042,1.0,1.0,1.0
25,0.568,1.0,1.0,1.0
26,0.5673,1.0,1.0,1.0
27,0.5926,1.0,1.0,1.0
28,0.625,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
