k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.8846,1.0,1.0,1.0
5,0.832,1.0,1.0,1.0
6,0.8542,1.0,1.0,1.0
7,0.795,1.0,1.0,1.0
8,0.8125,1.0,1.0,1.0
9,0.8413,1.0,1.0,1.0
10,0.94,1.0,1.0,1.0
11,0.8852,1.0,1.0,1.0
12,0.8889,1.0,1.0,1.0
13,0.8914,1.0,1.0,1.0
14,0.8259,1.0,1.0,1.0
15,0.8533,1.0,1.0,1.0
16,0.8393,1.0,1.0,1.0
17,0.8371,1.0,1.0,1.0
18,0.9028,1.0,1.0,1.0
19,0.8995,1.0,1.0,1.0
20,0.865,1.0,1.0,1.0
21,0.873,1.0,1.0,1.0
22,0.8636,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,0.7692,1.0,1.0,1.0
27,0.7778,1.0,1.0,1.0
28,0.7857,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
