k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.8995,1.0,1.0,1.0
12,0.9167,1.0,1.0,1.0
13,0.9457,1.0,1.0,1.0
14,0.9464,1.0,1.0,1.0
15,0.9467,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,0.94,1.0,1.0,1.0
21,0.9048,1.0,1.0,1.0
22,0.9318,1.0,1.0,1.0
23,0.9255,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
