feature,client_0_s11,client_0_s22,mean
step,0.0231753,0.0234171,0.0232962
amount,0.17177,0.170868,0.171319
oldbalanceOrg,0.0225875,0.0217408,0.0221641
newbalanceOrig,0.214215,0.211507,0.212861
oldbalanceDest,0.0568857,0.05525,0.0560678
newbalanceDest,0.0568643,0.0547624,0.0558134
errorBalanceOrig,1.04312,1.04295,1.04304
errorBalanceDest,0.0488172,0.0496905,0.0492539
type_CASH_IN,0.193492,0.189555,0.191523
type_CASH_OUT,0.0247032,0.0263606,0.0255319
type_DEBIT,0.0151348,0.0152236,0.0151792
type_PAYMENT,1.00233,1.00234,1.00234
type_TRANSFER,0.0952537,0.0975901,0.0964219
