feature,client_0_s11,client_0_s22,mean
step,0.0429148,0.044049,0.0434819
amount,0.0771797,0.077626,0.0774028
oldbalanceOrg,0.04703,0.0468977,0.0469638
newbalanceOrig,0.375341,0.375778,0.37556
oldbalanceDest,0.0161492,0.015911,0.0160301
newbalanceDest,0.0446642,0.0439636,0.0443139
errorBalanceOrig,0.195752,0.195472,0.195612
errorBalanceDest,0.0859143,0.0857787,0.0858465
type_CASH_IN,0.890169,0.891197,0.890683
type_CASH_OUT,0.0158289,0.0161452,0.015987
type_DEBIT,0.0659893,0.0657143,0.0658518
type_PAYMENT,1.92066,1.92183,1.92125
type_TRANSFER,0.0373034,0.0362056,0.0367545
