feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.0611019,0.0615547,0.269193,0.267732,0.0672587,0.0671057,0.0663929,0.0676973,0.0545337,0.0535939,0.103616
amount,0.237065,0.238524,0.841904,0.840954,0.226336,0.227341,0.231704,0.232538,0.241819,0.238993,0.355718
oldbalanceOrg,0.40054,0.401436,1.14544,1.14277,0.340516,0.34019,0.353574,0.354198,0.416966,0.413913,0.530954
newbalanceOrig,0.0748562,0.0747959,0.381345,0.378929,0.0760443,0.075402,0.0715331,0.0723332,0.0784822,0.0790575,0.136278
oldbalanceDest,0.248071,0.248731,0.750388,0.748107,0.252735,0.253103,0.241051,0.240396,0.253054,0.253312,0.348895
newbalanceDest,0.048589,0.0485646,0.381588,0.382617,0.0506914,0.0485556,0.0468395,0.0461251,0.0494449,0.0500081,0.115302
errorBalanceOrig,0.757472,0.75572,2.48456,2.48573,0.765782,0.765445,0.735811,0.735774,0.742155,0.742818,1.09713
errorBalanceDest,0.189665,0.190434,1.19371,1.19269,0.200962,0.199766,0.179567,0.176866,0.178425,0.17775,0.387984
type_CASH_IN,0.730339,0.730716,0.909958,0.911253,0.660938,0.661141,0.704721,0.702803,0.757512,0.758072,0.752745
type_CASH_OUT,0.107937,0.108945,0.184195,0.182255,0.100876,0.101757,0.104352,0.10223,0.103704,0.10505,0.12013
type_DEBIT,0.020697,0.0203971,0.0391673,0.0361458,0.0179117,0.0181819,0.0202745,0.0200783,0.0193829,0.0194257,0.0231662
type_PAYMENT,1.09947,1.09901,1.82207,1.8249,1.12221,1.12163,1.06664,1.06684,1.11252,1.11164,1.24469
type_TRANSFER,0.0787249,0.0789957,0.447707,0.44948,0.0685435,0.0681883,0.0764694,0.0765906,0.0784794,0.0799307,0.150311
