feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.0532807,0.0522903,0.303087,0.305648,0.0423795,0.0417761,0.0515028,0.0518526,0.0479979,0.0481009,0.0997916
amount,0.173104,0.171945,0.728512,0.728219,0.140869,0.140908,0.14714,0.146155,0.150833,0.149657,0.267734
oldbalanceOrg,0.189741,0.187959,1.03568,1.03316,0.264482,0.262764,0.191205,0.188537,0.210378,0.2078,0.37717
newbalanceOrig,0.0774509,0.0741595,0.380075,0.38013,0.0804225,0.0786992,0.0845465,0.0804088,0.0722977,0.0692357,0.137743
oldbalanceDest,0.236482,0.236382,0.345711,0.346706,0.237102,0.237659,0.225474,0.225068,0.182324,0.182092,0.2455
newbalanceDest,0.0359435,0.0339693,0.15164,0.153565,0.0245928,0.0240967,0.0360011,0.0334815,0.0247561,0.0235638,0.054161
errorBalanceOrig,0.543723,0.540694,1.51382,1.51159,0.585141,0.583757,0.553093,0.550382,0.548648,0.545603,0.747646
errorBalanceDest,0.122844,0.121257,0.774007,0.772486,0.123321,0.12306,0.150228,0.148696,0.113132,0.111362,0.256039
type_CASH_IN,0.629736,0.627165,1.12163,1.11995,0.706438,0.705686,0.593272,0.590377,0.596382,0.593987,0.728461
type_CASH_OUT,0.076895,0.0780259,0.179321,0.17639,0.104474,0.103538,0.0786483,0.0795819,0.0695499,0.070023,0.101645
type_DEBIT,0.00632621,0.00632237,0.0182115,0.0182879,0.0241723,0.0236447,0.00663263,0.00662658,0.00669208,0.00668796,0.0123604
type_PAYMENT,1.01567,1.01354,1.70582,1.70906,1.00183,0.999954,1.16748,1.16516,1.0223,1.02065,1.18215
type_TRANSFER,0.106221,0.105491,0.377379,0.377355,0.0704559,0.0711197,0.0753489,0.0748097,0.0772655,0.0757961,0.141124
