feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.111636,0.112632,0.416312,0.418472,0.109271,0.110365,0.116674,0.117773,0.106324,0.106061,0.172552
amount,0.660099,0.664893,2.65962,2.65977,0.633212,0.632748,0.653287,0.654235,0.655487,0.652409,1.05258
oldbalanceOrg,0.0796877,0.0803244,0.32289,0.328454,0.0656627,0.065435,0.0660937,0.0657963,0.0795675,0.076005,0.122992
newbalanceOrig,0.137805,0.138137,0.381685,0.378519,0.149807,0.147282,0.139077,0.138675,0.147321,0.145541,0.190385
oldbalanceDest,0.0574182,0.0553621,0.231347,0.230173,0.0543562,0.0528634,0.0540906,0.0536164,0.063684,0.0620524,0.0914963
newbalanceDest,0.0752029,0.0797672,0.311273,0.311269,0.074047,0.074838,0.0764441,0.078042,0.0818292,0.08283,0.124554
errorBalanceOrig,0.812258,0.809745,2.56096,2.56198,0.824523,0.824109,0.825645,0.826074,0.80322,0.804111,1.16526
errorBalanceDest,0.205343,0.203052,0.925854,0.918179,0.218922,0.2151,0.206584,0.208428,0.205783,0.20217,0.350941
type_CASH_IN,0.225441,0.224547,0.520458,0.519452,0.219125,0.21579,0.240678,0.238271,0.239167,0.241643,0.288457
type_CASH_OUT,0.060656,0.0616108,0.126499,0.127859,0.0659381,0.0648778,0.0558272,0.0581781,0.0622377,0.0615552,0.0745239
type_DEBIT,0.00875876,0.00856656,0.00539664,0.00553743,0.0073632,0.00737866,0.00913871,0.00907603,0.00707103,0.00692258,0.00752096
type_PAYMENT,1.31701,1.31705,1.94403,1.93868,1.35755,1.35408,1.29261,1.29274,1.33561,1.33337,1.44827
type_TRANSFER,0.209739,0.205889,0.453656,0.453589,0.211902,0.212975,0.218452,0.217561,0.230325,0.230064,0.264415
