feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.1286,0.127912,0.469328,0.473335,0.100912,0.0967851,0.0895511,0.0877509,0.103581,0.103097,0.178085
amount,0.372471,0.370517,2.649,2.65115,0.299649,0.297243,0.350557,0.349834,0.34899,0.348392,0.80378
oldbalanceOrg,0.0710225,0.0689647,0.219082,0.219314,0.0512611,0.0493548,0.0585325,0.0568072,0.0517504,0.0499038,0.0895993
newbalanceOrig,0.139357,0.137567,0.455782,0.457252,0.136915,0.133185,0.135728,0.133458,0.11208,0.110628,0.195195
oldbalanceDest,0.0489507,0.0489009,0.211665,0.211256,0.0450623,0.046034,0.0501494,0.0515704,0.0399979,0.0405336,0.079412
newbalanceDest,0.0817513,0.0848718,0.146192,0.143018,0.0852474,0.0843296,0.079232,0.08366,0.0764712,0.0787361,0.094351
errorBalanceOrig,0.48581,0.485268,1.79096,1.78665,0.604475,0.604523,0.544419,0.545774,0.653068,0.654326,0.815527
errorBalanceDest,0.149097,0.149346,0.759191,0.750975,0.169441,0.167889,0.175874,0.176197,0.138137,0.137488,0.277364
type_CASH_IN,0.222089,0.220783,0.68935,0.685352,0.210686,0.209484,0.233296,0.230398,0.177484,0.175706,0.305463
type_CASH_OUT,0.0466331,0.0474118,0.100343,0.101462,0.056219,0.0558898,0.0451485,0.0459068,0.0527115,0.0536436,0.0605369
type_DEBIT,0.00698771,0.00692814,0.0233184,0.0232053,0.0318269,0.0315339,0.00723144,0.00718054,0.00718437,0.00719046,0.0152587
type_PAYMENT,1.10928,1.1072,2.18107,2.18741,1.25926,1.25476,1.26305,1.25888,1.18928,1.18876,1.3999
type_TRANSFER,0.129648,0.131538,0.511547,0.511501,0.147863,0.148698,0.105867,0.106457,0.110889,0.111744,0.201575
