feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.0246845,0.023957,0.0222686,0.0224596,0.0266014,0.025435,0.0237655,0.0243566,0.0244223,0.0235343,0.0241485
amount,0.070606,0.0721847,0.0714242,0.0727311,0.0737404,0.0745192,0.066527,0.0674493,0.0697689,0.0704882,0.0709439
oldbalanceOrg,0.0439913,0.041072,0.0440946,0.042544,0.0424278,0.042589,0.04235,0.0428363,0.0459562,0.042784,0.0430645
newbalanceOrig,0.253683,0.254211,0.251079,0.251007,0.240209,0.240004,0.264602,0.265895,0.233783,0.23638,0.249085
oldbalanceDest,0.0436846,0.042508,0.0452469,0.043877,0.0462408,0.0463179,0.044826,0.0470824,0.0471061,0.0443764,0.0451266
newbalanceDest,0.0947278,0.0951784,0.0896838,0.0883909,0.091404,0.0899732,0.0948468,0.0954059,0.0914203,0.09378,0.0924811
errorBalanceOrig,1.1799,1.1812,1.1867,1.18882,1.14866,1.1496,1.19061,1.19199,1.13785,1.1418,1.16971
errorBalanceDest,0.0715646,0.069648,0.0732372,0.0744826,0.0768202,0.0769854,0.0788569,0.0788169,0.0729028,0.0735581,0.0746873
type_CASH_IN,0.348967,0.349792,0.368623,0.368108,0.372618,0.372153,0.362179,0.361692,0.388969,0.389703,0.36828
type_CASH_OUT,0.0805455,0.0812562,0.0786317,0.0809205,0.0817981,0.081987,0.0764033,0.076322,0.076408,0.0771645,0.0791437
type_DEBIT,0.0532104,0.0525895,0.0478439,0.0469932,0.0430479,0.0419144,0.0768882,0.0759133,0.0525769,0.0527059,0.0543684
type_PAYMENT,1.39802,1.39948,1.37198,1.37363,1.4391,1.44117,1.41724,1.42109,1.40011,1.40076,1.40626
type_TRANSFER,0.0359193,0.0358043,0.0407634,0.0406366,0.0349071,0.0348807,0.0377536,0.0376707,0.0352501,0.0344385,0.0368024
