feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.0325143,0.0324928,0.0222233,0.0203211,0.0274843,0.0275329,0.0312957,0.0316056,0.0270539,0.0268197,0.0279344
amount,0.0705356,0.0666568,0.0559105,0.0593906,0.0619578,0.0572114,0.0741857,0.0697779,0.066091,0.0618016,0.0643519
oldbalanceOrg,0.0496237,0.0485309,0.0405274,0.0383611,0.049904,0.0494146,0.0489931,0.0478931,0.0565591,0.0559507,0.0485758
newbalanceOrig,0.302029,0.299344,0.316045,0.315217,0.287467,0.286277,0.261548,0.259299,0.252562,0.252166,0.283195
oldbalanceDest,0.0470589,0.0456105,0.0449417,0.0447367,0.0452456,0.0431249,0.0444266,0.0433396,0.0472668,0.0462602,0.0452011
newbalanceDest,0.100306,0.102772,0.123703,0.123122,0.104966,0.108009,0.0944787,0.096492,0.102091,0.105218,0.106116
errorBalanceOrig,1.26849,1.26729,1.05948,1.06112,1.08993,1.08806,1.19686,1.19508,1.07064,1.06835,1.13653
errorBalanceDest,0.0464844,0.0450484,0.0526769,0.0518309,0.0516664,0.0494505,0.0511905,0.0490493,0.0433715,0.0420014,0.048277
type_CASH_IN,0.318146,0.312164,0.364166,0.365888,0.327809,0.322064,0.337932,0.332406,0.39349,0.388346,0.346241
type_CASH_OUT,0.0577291,0.0553812,0.0677214,0.0687046,0.0670213,0.0639182,0.0585285,0.0575716,0.0618353,0.0597343,0.0618145
type_DEBIT,0.0250518,0.0251489,0.0452744,0.0448795,0.0241368,0.0243573,0.0249448,0.0250866,0.0248604,0.0250714,0.0288812
type_PAYMENT,1.57626,1.57493,1.14658,1.15069,1.32135,1.31992,1.58661,1.58449,1.2919,1.2898,1.38425
type_TRANSFER,0.0379814,0.0377542,0.0394434,0.0397846,0.0374936,0.038486,0.0384149,0.0380363,0.0547806,0.0550473,0.0417222
