feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.528958,0.531424,0.596254,0.592954,0.617608,0.615617,0.603957,0.602395,0.56227,0.555586,0.580702
amount,0.525264,0.526613,0.560443,0.561525,0.553801,0.552054,0.511899,0.513494,0.546332,0.550405,0.540183
oldbalanceOrg,2.50404,2.50147,2.52679,2.52677,2.59459,2.59505,2.60409,2.60342,2.80196,2.80328,2.60614
newbalanceOrig,0.749567,0.750819,0.774195,0.777504,0.780002,0.776047,0.641931,0.643258,0.656534,0.666025,0.721588
oldbalanceDest,0.626738,0.627076,0.61918,0.618737,0.62537,0.62681,0.635786,0.636798,0.60665,0.607563,0.623071
newbalanceDest,0.382248,0.388097,0.380467,0.379383,0.4027,0.400556,0.394897,0.395793,0.360219,0.365701,0.385006
errorBalanceOrig,1.02787,1.02731,1.0366,1.03848,1.0964,1.09487,1.081,1.08598,1.05809,1.06498,1.06116
errorBalanceDest,1.18107,1.18636,1.16062,1.16153,1.20098,1.20444,1.16186,1.1584,1.07239,1.07039,1.1558
type_CASH_IN,8.37295,8.36883,8.63382,8.63113,8.56375,8.56373,8.57542,8.56668,9.05606,9.05704,8.63894
type_CASH_OUT,0.314313,0.319141,0.31437,0.309022,0.316828,0.316974,0.313375,0.314724,0.328181,0.324616,0.317154
type_DEBIT,0.474958,0.482417,0.432681,0.434703,0.362611,0.366876,0.659627,0.650257,0.474932,0.477857,0.481692
type_PAYMENT,17.6474,17.6465,17.4186,17.4316,17.8923,17.8967,17.7027,17.7148,17.3299,17.3341,17.6015
type_TRANSFER,0.303391,0.302973,0.31128,0.318125,0.312222,0.310283,0.320111,0.32127,0.294052,0.298188,0.30919
