feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.67094,0.677399,0.637095,0.639786,0.501817,0.504451,0.627738,0.63302,0.50369,0.503666,0.58996
amount,0.519908,0.510607,0.511511,0.520462,0.435456,0.423506,0.571532,0.579977,0.429628,0.429408,0.493199
oldbalanceOrg,2.57155,2.57161,2.60013,2.60127,2.53957,2.54288,2.71602,2.71652,2.60262,2.60285,2.6065
newbalanceOrig,0.652072,0.641019,0.671545,0.676287,0.669437,0.658967,0.755872,0.758497,0.644197,0.646812,0.677471
oldbalanceDest,0.717742,0.717075,0.543476,0.55015,0.425395,0.425834,0.358075,0.362215,0.448389,0.45114,0.499949
newbalanceDest,0.382711,0.400134,0.450356,0.456879,0.3646,0.378501,0.444922,0.448645,0.39899,0.402014,0.412775
errorBalanceOrig,1.25965,1.2609,1.09253,1.0905,0.930571,0.931927,1.05938,1.05493,1.2108,1.20437,1.10956
errorBalanceDest,1.07625,1.07477,1.38115,1.37551,1.16189,1.15772,1.25625,1.25305,1.01733,1.0146,1.17685
type_CASH_IN,9.30241,9.28814,8.54745,8.54355,7.92703,7.91471,8.99722,8.99253,8.35049,8.34386,8.62074
type_CASH_OUT,0.26012,0.265313,0.269975,0.271783,0.313837,0.321172,0.294327,0.295123,0.325409,0.325772,0.294283
type_DEBIT,0.17142,0.171659,0.550073,0.555696,0.164529,0.165373,0.434225,0.438582,0.457913,0.458542,0.356801
type_PAYMENT,17.3726,17.3638,18.1532,18.156,18.022,18.0125,17.541,17.5421,17.8792,17.8788,17.7921
type_TRANSFER,0.334989,0.327083,0.341498,0.351312,0.233467,0.230429,0.237106,0.245939,0.349408,0.359324,0.301056
