feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.000460218,0.000429952,0.00302972,0.00285549,0.000411509,0.000419245,0.00040033,0.000385539,0.000321482,0.000292163,0.000900565
amount,0.00421338,0.00417098,0.031028,0.0309658,0.00308775,0.00308222,0.00336953,0.00331982,0.00379032,0.00383378,0.00908616
oldbalanceOrg,0.00287452,0.00287024,0.0257113,0.025838,0.00206984,0.00208117,0.0023835,0.00237248,0.00235931,0.00238253,0.00709429
newbalanceOrig,0.013006,0.0129437,0.192597,0.192785,0.0109877,0.0109945,0.00942394,0.00939026,0.00894947,0.00890601,0.0469983
oldbalanceDest,0.00116077,0.00118626,0.0240959,0.0240945,0.000969061,0.000984298,0.00115264,0.00114224,0.00096944,0.000975136,0.00567303
newbalanceDest,0.00189248,0.00186529,0.00708091,0.00708722,0.00204176,0.00203728,0.00180463,0.00182609,0.00206765,0.00208283,0.00297861
errorBalanceOrig,0.0144639,0.0145323,0.261801,0.261867,0.0111935,0.0111787,0.00983843,0.00985634,0.00946884,0.00947271,0.0613673
errorBalanceDest,0.00181106,0.00177551,0.0248883,0.0247837,0.00168722,0.0016485,0.00186395,0.00183154,0.00166107,0.00164824,0.00635991
type_CASH_IN,0.000216526,0.000195977,0.00173995,0.00177561,0.000175202,0.000171537,0.000146634,0.000130531,0.000154533,0.000140442,0.000484694
type_CASH_OUT,0.000326603,0.000337878,0.00185236,0.00191437,0.000318166,0.000335469,0.000284335,0.000297045,0.000266581,0.000283974,0.000621678
type_DEBIT,0.00016879,0.00019604,0.00166908,0.00172615,0.000152664,0.000173689,0.00019007,0.000143155,0.000143455,0.000155735,0.000471883
type_PAYMENT,0.00249221,0.00246665,0.0267144,0.0266625,0.00210794,0.00211643,0.00184271,0.001899,0.00188237,0.00185666,0.0070041
type_TRANSFER,0.00296296,0.00302164,0.0115642,0.0113153,0.00325079,0.00326262,0.00293258,0.00293637,0.00336089,0.0033769,0.00479843
