feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.000890946,0.000959933,0.0020262,0.00207321,0.000294555,0.000292397,0.000366981,0.000394093,0.000338857,0.000360858,0.000799803
amount,0.00285507,0.0028707,0.0233858,0.0234617,0.00272172,0.00271454,0.00220168,0.00221622,0.00265725,0.00266272,0.00677474
oldbalanceOrg,0.00110761,0.00110846,0.0198089,0.0197854,0.000723012,0.000717372,0.000531274,0.000526281,0.000758347,0.000749982,0.00458166
newbalanceOrig,0.0300864,0.0302042,0.0701184,0.0702677,0.00740959,0.00740718,0.00805358,0.00810237,0.00592776,0.00597443,0.0243552
oldbalanceDest,0.000927885,0.000890598,0.00332275,0.00328594,0.000392863,0.000385624,0.000462109,0.000451828,0.00329268,0.00332361,0.00167359
newbalanceDest,0.00239735,0.00244412,0.00473249,0.00482168,0.00151958,0.00152361,0.00169657,0.00169247,0.00143118,0.00143202,0.00236911
errorBalanceOrig,0.0360102,0.0360727,0.123885,0.123823,0.00715191,0.0071592,0.00840652,0.00836214,0.00532254,0.0052752,0.0361468
errorBalanceDest,0.000759753,0.00071806,0.00714216,0.00718359,0.000107873,0.000116743,0.000223187,0.000226115,0.00441067,0.00441113,0.00252993
type_CASH_IN,0.000695542,0.000839991,0.00096953,0.00101973,0.00012297,0.000112952,0.000209652,0.000257233,0.000186391,0.000219375,0.000463337
type_CASH_OUT,0.00084068,0.000894764,0.00102246,0.00105596,0.000258908,0.000268853,0.00032576,0.000334408,0.000297603,0.000303853,0.000560325
type_DEBIT,1.25e-06,2.54555e-07,6.7738e-07,1.1262e-06,0.00011437,0.000111975,3.34332e-07,6.53495e-08,1.66643e-07,3.54664e-08,2.30256e-05
type_PAYMENT,0.00696189,0.00700936,0.0214654,0.0215518,0.001563,0.00155454,0.00183715,0.00190138,0.00130874,0.0013743,0.00665275
type_TRANSFER,0.00388395,0.00384172,0.00900452,0.00903128,0.0028289,0.00281091,0.00290086,0.00291045,0.00241945,0.00242422,0.00420563
