feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.00033052,0.000325483,0.00385958,0.00395964,0.000280839,0.000249091,0.000211463,0.000218233,0.000234236,0.000246992,0.000991607
amount,0.0100605,0.0101128,0.0205433,0.0201922,0.00970445,0.0096935,0.00941828,0.009387,0.010234,0.0101679,0.0119514
oldbalanceOrg,0.00206005,0.00205908,0.0186814,0.0189055,0.00157815,0.00154169,0.00181543,0.001833,0.00172974,0.00170034,0.00519043
newbalanceOrig,0.0114454,0.0114377,0.184084,0.183578,0.00944393,0.00943757,0.00797264,0.00795293,0.00767231,0.00764155,0.0440667
oldbalanceDest,0.00197037,0.0019592,0.0294944,0.0295278,0.00164831,0.00158926,0.00157432,0.00157684,0.00157469,0.00158644,0.00725017
newbalanceDest,0.00112337,0.00120958,0.0100708,0.0101589,0.00119661,0.00119201,0.00109091,0.00106855,0.001125,0.00114903,0.00293848
errorBalanceOrig,0.0111428,0.0112032,0.230652,0.23118,0.00815725,0.00813315,0.00752257,0.00752357,0.00757499,0.00759604,0.0530686
errorBalanceDest,0.00161683,0.00163308,0.0179177,0.0177821,0.00142387,0.00146714,0.0014306,0.00143664,0.00150379,0.00142714,0.00476389
type_CASH_IN,0.000299656,0.000323603,0.00389958,0.00408553,0.000292219,0.000263979,0.000227196,0.000259286,0.000254415,0.000237278,0.00101427
type_CASH_OUT,0.00229128,0.00226181,0.00441627,0.00425764,0.00221699,0.00220485,0.00221757,0.00221521,0.00219161,0.0021498,0.0026423
type_DEBIT,2.06182e-06,1.43237e-06,1.08713e-07,9.5208e-07,1.54277e-07,5.09531e-08,4.24234e-07,9.81133e-07,6.74409e-07,1.20993e-06,8.04991e-07
type_PAYMENT,0.00309902,0.0030761,0.0259026,0.0264374,0.00280095,0.00275781,0.00235803,0.0023772,0.00249825,0.00245382,0.00737612
type_TRANSFER,0.00191242,0.00191831,0.00592729,0.00562802,0.00197753,0.00198318,0.00193303,0.00195283,0.00209315,0.00207707,0.00274028
