feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.000192847,0.000207397,0.00117351,0.0011977,0.00015109,0.000148443,0.000160768,0.000171083,0.000186875,0.000200076,0.000378979
amount,0.00700512,0.00702565,0.0111322,0.0111669,0.00679967,0.00679748,0.00639766,0.00640664,0.00746073,0.0074855,0.00776775
oldbalanceOrg,0.00141873,0.00141608,0.0183438,0.0183043,0.000706492,0.000671547,0.000844947,0.000837883,0.000704244,0.000695615,0.00439437
newbalanceOrig,0.00736828,0.00741893,0.0590099,0.0591589,0.00752149,0.00752022,0.00529433,0.00533919,0.00630824,0.00636044,0.01713
oldbalanceDest,0.00193097,0.00190928,0.0037077,0.003664,0.00159963,0.00159044,0.00162339,0.00161076,0.00210561,0.00213571,0.00218775
newbalanceDest,0.00149932,0.00149741,0.00531609,0.00539132,0.00154791,0.00155476,0.00142833,0.00142871,0.00149945,0.00150278,0.00226661
errorBalanceOrig,0.00643998,0.00639733,0.10684,0.106782,0.00476793,0.00477071,0.00278161,0.00273156,0.00327996,0.0032325,0.0248023
errorBalanceDest,0.00203715,0.00202661,0.0111898,0.0112079,0.000115091,0.000126648,0.000135922,0.000148896,0.00439758,0.00439236,0.0035778
type_CASH_IN,0.000207377,0.000241916,0.00120456,0.00118384,0.000145007,0.000134689,0.000148454,0.000173976,0.000185652,0.000223998,0.000384947
type_CASH_OUT,0.00208046,0.00207222,0.0021666,0.00217765,0.00228334,0.00229211,0.00201587,0.00200126,0.00226589,0.00225308,0.00216085
type_DEBIT,6.21916e-07,7.31845e-08,1.69771e-06,8.09279e-07,0.00012354,0.000117775,2.76224e-08,4.54386e-08,4.81097e-07,9.22928e-08,2.45164e-05
type_PAYMENT,0.0024004,0.00245,0.0224104,0.0224842,0.00221101,0.00220136,0.0016731,0.00172904,0.00189708,0.00195439,0.0061411
type_TRANSFER,0.000972905,0.000975444,0.00463415,0.00464254,0.00111255,0.0010985,0.000752007,0.000741478,0.000910096,0.000904201,0.00167439
