feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,5.46926e-05,5.17602e-05,4.29374e-05,4.64352e-05,5.97276e-05,4.61483e-05,5.17398e-05,8.39108e-05,6.21924e-05,4.74247e-05,5.46969e-05
amount,0.000651528,0.000659517,0.000789977,0.000784609,0.0008922,0.000870144,0.000558709,0.000565557,0.000643155,0.000665952,0.000708135
oldbalanceOrg,0.000311283,0.00029104,0.000371422,0.00036456,0.000414839,0.000394879,0.000255539,0.000245919,0.000436511,0.000414156,0.000350015
newbalanceOrig,0.00309734,0.00310003,0.00290048,0.00288905,0.0022322,0.00225228,0.00265887,0.00270366,0.00208354,0.00203539,0.00259529
oldbalanceDest,0.000446669,0.000440687,0.000233273,0.000234867,0.000598755,0.000604685,0.00061418,0.000592394,0.00059714,0.00058212,0.000494477
newbalanceDest,0.000494755,0.000486548,0.00051798,0.000510893,0.000472025,0.000493454,0.000504992,0.000526531,0.000435265,0.000448634,0.000489108
errorBalanceOrig,0.00411718,0.00414017,0.00386814,0.00386648,0.00335653,0.00333735,0.0038488,0.00382133,0.00310348,0.00307951,0.0036539
errorBalanceDest,0.000650775,0.000636254,0.000333859,0.00032951,0.000871648,0.000877486,0.000870358,0.000849975,0.000860214,0.000883848,0.000716393
type_CASH_IN,3.39932e-05,2.33556e-05,2.43865e-05,3.06387e-05,4.48333e-05,4.88112e-05,3.74089e-05,6.15509e-05,5.67033e-05,4.90059e-05,4.10688e-05
type_CASH_OUT,2.98916e-05,2.84844e-05,2.17687e-05,2.71233e-05,7.06728e-05,3.69233e-05,5.76412e-05,5.39713e-05,2.63408e-05,3.03526e-05,3.8317e-05
type_DEBIT,2.4669e-05,3.73164e-05,2.2969e-05,2.34582e-05,4.89967e-05,5.22207e-05,3.89296e-05,3.2558e-05,2.24683e-05,3.88193e-05,3.42405e-05
type_PAYMENT,0.000456228,0.000452315,0.000424068,0.000424135,0.000369791,0.000334871,0.00037235,0.000344764,0.000254117,0.000265857,0.00036985
type_TRANSFER,0.000700266,0.000700348,0.000743498,0.000747246,0.000702607,0.000702196,0.000713639,0.000738266,0.000656233,0.000626778,0.000703108
