feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.000303169,0.000323311,0.000237827,0.00023277,0.000462446,0.000495501,0.000536715,0.000571297,0.000146026,0.000168088,0.000347715
amount,0.0008183,0.000830989,0.00119835,0.00121474,0.00099114,0.000993242,0.00124618,0.00125594,0.00117134,0.0011733,0.00108935
oldbalanceOrg,0.0004598,0.000478407,0.000453202,0.000433288,0.000602119,0.000594186,0.000709153,0.000698064,0.000563298,0.000558102,0.000554962
newbalanceOrig,0.0161393,0.0161815,0.0195389,0.0195418,0.0244429,0.024538,0.0282232,0.0283256,0.00774074,0.00779336,0.0192465
oldbalanceDest,0.00029131,0.000302461,0.000232727,0.000226047,0.000454692,0.000450875,0.0005291,0.000520685,0.000143453,0.000153341,0.000330469
newbalanceDest,0.00060825,0.000597388,0.000595864,0.000580077,0.000830255,0.000860322,0.000905456,0.000945081,0.000665243,0.00067261,0.000726055
errorBalanceOrig,0.0198609,0.0198104,0.0243411,0.0243659,0.0301687,0.0301793,0.034798,0.034816,0.00986231,0.00982254,0.0238025
errorBalanceDest,0.000324614,0.000329663,0.000218095,0.000238076,0.000513202,0.000491166,0.000594511,0.00056875,0.00016311,0.000164843,0.000360603
type_CASH_IN,0.000312427,0.000367055,0.00025453,0.00023,0.000472192,0.000587155,0.000544454,0.00067547,0.000165726,0.000200257,0.000380927
type_CASH_OUT,0.000306596,0.000321588,0.000215953,0.000236062,0.000504777,0.000511887,0.000585349,0.00059322,0.000161105,0.000162371,0.000359891
type_DEBIT,2.64098e-06,8.42627e-07,0.00023665,0.000222864,2.82035e-06,1.89033e-06,3.24806e-06,2.17979e-06,5.44257e-07,4.34657e-07,4.74115e-05
type_PAYMENT,0.00274906,0.00283147,0.00324304,0.00321844,0.00421085,0.00427474,0.00491353,0.00497528,0.00125753,0.00133415,0.00330081
type_TRANSFER,0.000773886,0.000786202,0.000891803,0.000878863,0.0011048,0.00105002,0.00119599,0.00113536,0.000984708,0.000983104,0.000978474
