feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.00028006,0.00027086,0.000416815,0.00041147,0.000624579,0.00063899,0.00029956,0.000331544,0.000309685,0.00028701,0.000387057
amount,0.00559287,0.00559394,0.0055701,0.00557901,0.00626539,0.00626912,0.00536929,0.00533618,0.00540772,0.00549199,0.00564756
oldbalanceOrg,0.00103953,0.0010182,0.000969863,0.000937691,0.00109464,0.00107309,0.000852422,0.000837072,0.00104322,0.00103422,0.000989995
newbalanceOrig,0.0012096,0.00119957,0.00109972,0.00108825,0.000960624,0.000973131,0.000896123,0.000924328,0.000788384,0.00070584,0.000984556
oldbalanceDest,0.000305283,0.00029636,0.000306916,0.00029314,0.000418817,0.000445216,0.000427123,0.000412863,0.000554289,0.000551238,0.000401124
newbalanceDest,0.00247526,0.00248818,0.00270064,0.00268479,0.00261712,0.00261217,0.00254117,0.00252593,0.002224,0.00225775,0.0025127
errorBalanceOrig,0.00447704,0.00449885,0.00491021,0.00492217,0.0049522,0.00496436,0.00425518,0.00425175,0.00426689,0.00423593,0.00457346
errorBalanceDest,0.00104936,0.00103897,0.00114242,0.00115323,0.00116039,0.00114462,0.00113709,0.00115708,0.001229,0.0012118,0.0011424
type_CASH_IN,0.000127536,0.000151671,0.000146218,0.000147856,0.000140657,0.000175063,0.000120935,0.000130209,0.000141642,0.000140135,0.000142192
type_CASH_OUT,0.000412477,0.000416211,0.000418883,0.000432826,0.000485304,0.000447183,0.000405668,0.00040118,0.000424687,0.00044563,0.000429005
type_DEBIT,4.59455e-05,5.18104e-05,5.18681e-05,5.34138e-05,6.73236e-05,7.31561e-05,7.30696e-05,5.85855e-05,5.42564e-05,8.57601e-05,6.15189e-05
type_PAYMENT,0.00018108,0.000166241,0.000163701,0.000178899,0.000165486,0.000125406,0.000133575,0.000133024,0.000116935,8.98257e-05,0.000145417
type_TRANSFER,0.00294751,0.00295483,0.00314424,0.00317463,0.00307484,0.00305811,0.00296132,0.00297695,0.00260223,0.0026258,0.00295205
