feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.00134677,0.00139873,0.00060506,0.000605557,0.000585015,0.00060977,0.00055718,0.000567211,0.000865558,0.000857776,0.000799863
amount,0.00531606,0.00529204,0.00338059,0.00339841,0.00244592,0.00242043,0.00585623,0.00587499,0.00822036,0.00826032,0.00504654
oldbalanceOrg,0.00174601,0.00177997,0.000623587,0.000618037,0.000489785,0.000481587,0.00113663,0.00112006,0.0013874,0.00132491,0.0010708
newbalanceOrig,0.0479493,0.0480687,0.0185559,0.0185703,0.00768029,0.00773526,0.0140072,0.0140217,0.033988,0.0339987,0.0244575
oldbalanceDest,0.00109187,0.0010468,0.000352879,0.000352788,0.000339668,0.000339346,0.000330485,0.000335507,0.000816818,0.000815837,0.0005822
newbalanceDest,0.00350375,0.00350912,0.00337699,0.00338407,0.00288123,0.0028631,0.00242603,0.00242084,0.00319505,0.00318456,0.00307447
errorBalanceOrig,0.0602767,0.0603367,0.0224775,0.0224964,0.0110246,0.0109802,0.0177453,0.0177607,0.0445009,0.0445627,0.0312162
errorBalanceDest,0.00160588,0.00157923,0.000706513,0.00072986,0.000920279,0.000930482,0.000595202,0.000588964,0.00110773,0.0011566,0.000992074
type_CASH_IN,0.00109785,0.00127436,0.00026623,0.000247324,0.000234653,0.000281273,0.000265404,0.000258865,0.00062237,0.000575073,0.00051234
type_CASH_OUT,0.00135103,0.00145046,0.000559959,0.000578305,0.000571451,0.000598745,0.000505862,0.00051476,0.000837611,0.000875492,0.000784367
type_DEBIT,1.54702e-05,1.08043e-05,0.000320629,0.000314904,2.14419e-06,1.84119e-06,0.000230282,0.000243003,0.000523898,0.000505142,0.000216812
type_PAYMENT,0.0102336,0.010308,0.00302448,0.00301118,0.00159158,0.00168804,0.00254613,0.00253009,0.00714164,0.00708288,0.00491576
type_TRANSFER,0.00412922,0.00407719,0.00408822,0.00405858,0.00325882,0.00326824,0.00271835,0.00270154,0.00428264,0.00420071,0.00367835
