feature,client_0_s11,client_0_s22,mean
step,0.347691,0.355675,0.351683
amount,1.92234,1.91903,1.92069
oldbalanceOrg,0.558135,0.559587,0.558861
newbalanceOrig,1.35584,1.35141,1.35363
oldbalanceDest,1.46462,1.45186,1.45824
newbalanceDest,5.40354,5.38773,5.39564
errorBalanceOrig,5.30898,5.32413,5.31655
errorBalanceDest,0.574603,0.566473,0.570538
type_CASH_IN,3.86374,3.86436,3.86405
type_CASH_OUT,2.61608,2.613,2.61454
type_DEBIT,0.000153636,9.9621e-05,0.000126629
type_PAYMENT,0.0737843,0.0731955,0.0734899
type_TRANSFER,0.0717387,0.0719941,0.0718664
