feature,client_0_s11,client_0_s22,mean
step,0.577599,0.571234,0.574417
amount,3.54589,3.53682,3.54136
oldbalanceOrg,1.35099,1.34314,1.34707
newbalanceOrig,2.40089,2.40847,2.40468
oldbalanceDest,2.30872,2.31006,2.30939
newbalanceDest,6.38863,6.39398,6.3913
errorBalanceOrig,6.33586,6.32928,6.33257
errorBalanceDest,0.732998,0.738365,0.735681
type_CASH_IN,5.4624,5.45805,5.46023
type_CASH_OUT,2.67943,2.68608,2.68276
type_DEBIT,0.0610041,0.0599239,0.060464
type_PAYMENT,0.0609749,0.0632183,0.0620966
type_TRANSFER,0.0586133,0.0628663,0.0607398
