feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.235136,0.239514,0.424932,0.425259,0.242998,0.241507,0.247367,0.245405,0.244076,0.24551,0.279171
amount,1.26126,1.26119,5.1164,5.11573,1.18294,1.17972,1.21158,1.20981,1.48547,1.4839,2.0508
oldbalanceOrg,0.609645,0.61186,0.724152,0.723154,0.512189,0.511055,0.567007,0.571301,0.657936,0.658121,0.614642
newbalanceOrig,1.25336,1.25199,0.862221,0.862872,1.01465,1.01296,1.20128,1.19883,1.38733,1.38938,1.14349
oldbalanceDest,0.377903,0.373738,0.46334,0.459105,0.370631,0.369773,0.371904,0.373043,0.455737,0.457089,0.407226
newbalanceDest,2.5355,2.54259,2.31754,2.31087,2.3546,2.35075,2.40266,2.40274,3.5795,3.57697,2.63737
errorBalanceOrig,2.52663,2.52571,2.57253,2.57202,2.45368,2.45361,2.64738,2.64911,3.37145,3.36937,2.71415
errorBalanceDest,0.432325,0.429112,1.80682,1.80571,0.383639,0.382822,0.459088,0.460825,0.446183,0.446554,0.705308
type_CASH_IN,2.36341,2.36386,1.77365,1.77386,2.24223,2.24121,2.2876,2.28823,2.40649,2.40574,2.21463
type_CASH_OUT,0.632264,0.63324,0.594894,0.594545,0.649145,0.648029,0.625892,0.626761,0.617062,0.615896,0.623773
type_DEBIT,0.02029,0.0183313,0.0228065,0.0205101,0.0168945,0.016367,0.0171572,0.0158837,0.0228388,0.0260082,0.0197087
type_PAYMENT,0.019006,0.0179334,0.0200716,0.0212867,0.0163246,0.01789,0.016906,0.0165291,0.0213211,0.0241151,0.0191384
type_TRANSFER,0.018782,0.0219915,0.0208832,0.0210828,0.0157923,0.0153415,0.0177024,0.0173726,0.0218018,0.024562,0.0195312
