feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.208699,0.203143,0.436664,0.439392,0.202184,0.202692,0.199457,0.195875,0.204353,0.200155,0.249261
amount,0.842678,0.840508,3.51675,3.51157,0.68221,0.684733,0.76141,0.760569,0.775618,0.774598,1.31506
oldbalanceOrg,0.514113,0.51331,0.856808,0.857992,0.589095,0.58887,0.502929,0.501262,0.462847,0.459605,0.584683
newbalanceOrig,1.25057,1.24697,1.37918,1.37995,1.38384,1.3857,1.19017,1.1888,1.09416,1.09229,1.25916
oldbalanceDest,0.35358,0.354238,0.516422,0.514268,0.402214,0.400075,0.336423,0.334026,0.317635,0.316109,0.384499
newbalanceDest,2.5763,2.56766,2.33076,2.32125,2.60743,2.60874,2.48702,2.47816,2.29561,2.28854,2.45615
errorBalanceOrig,2.52009,2.51998,2.51149,2.51324,2.40045,2.39874,2.38255,2.38571,2.52302,2.52634,2.46816
errorBalanceDest,0.394719,0.388904,1.62043,1.61959,0.385063,0.387444,0.29149,0.286162,0.325787,0.321625,0.602121
type_CASH_IN,2.54423,2.54518,2.54726,2.54683,2.68141,2.68064,2.28492,2.28525,2.33335,2.33472,2.47838
type_CASH_OUT,0.562912,0.561268,0.582215,0.582566,0.630942,0.632213,0.59482,0.593512,0.673369,0.672905,0.608672
type_DEBIT,5.54502e-05,1.6034e-05,9.97557e-05,8.19261e-05,0.0189889,0.0180971,5.00739e-05,1.97175e-05,5.43503e-05,3.40823e-05,0.00374974
type_PAYMENT,0.0355468,0.0349524,0.0279571,0.0262443,0.017923,0.0203967,0.0331106,0.0330889,0.0350525,0.0340467,0.0298319
type_TRANSFER,0.0356536,0.0324865,0.0252911,0.0248112,0.0191015,0.0203252,0.0333254,0.03003,0.03457,0.0316018,0.0287196
