feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.242631,0.240785,0.41831,0.425247,0.257424,0.263804,0.267211,0.26436,0.243187,0.245073,0.286803
amount,1.46822,1.47169,5.07726,5.0789,1.42151,1.42122,1.45729,1.45952,1.75336,1.76534,2.23743
oldbalanceOrg,0.774907,0.773435,0.759757,0.765812,0.620616,0.623179,0.683896,0.688489,0.78988,0.797232,0.72772
newbalanceOrig,1.12568,1.1287,0.896846,0.896546,0.945045,0.948353,1.12109,1.12853,1.23013,1.2373,1.06582
oldbalanceDest,0.508749,0.511878,0.64455,0.64402,0.472043,0.473787,0.478944,0.484405,0.624621,0.611312,0.545431
newbalanceDest,2.41193,2.40676,2.0709,2.07394,2.2404,2.2397,2.28968,2.28892,3.44991,3.43795,2.49101
errorBalanceOrig,2.75122,2.75827,2.9788,2.98126,2.69723,2.69938,2.87119,2.87511,3.70066,3.71859,3.00317
errorBalanceDest,0.57684,0.572665,1.20199,1.19119,0.578306,0.577887,0.61257,0.612375,0.70828,0.713519,0.734562
type_CASH_IN,3.45179,3.45228,3.02888,3.03042,3.36748,3.37176,3.39135,3.38996,3.49165,3.48304,3.34586
type_CASH_OUT,1.42883,1.42202,1.26878,1.26716,1.44195,1.43926,1.42754,1.42362,1.39072,1.39688,1.39068
type_DEBIT,8.50989e-05,0.000188046,9.6395e-05,0.000112355,4.22163e-05,7.37213e-05,0.000120285,9.71036e-05,7.78623e-06,4.58795e-05,8.68886e-05
type_PAYMENT,0.0414682,0.040501,0.0430104,0.0415642,0.036385,0.0361431,0.0366154,0.0373398,0.0490578,0.046653,0.0408738
type_TRANSFER,0.0383532,0.0374797,0.0404254,0.0420374,0.0402312,0.0360908,0.0401788,0.0370679,0.0455423,0.0450989,0.0402506
