feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.199186,0.199485,0.470475,0.470505,0.190987,0.191696,0.200724,0.198646,0.199449,0.197228,0.251838
amount,1.00807,1.00443,3.54433,3.54362,0.93174,0.93395,0.909077,0.903544,1.04834,1.04294,1.487
oldbalanceOrg,0.7434,0.744015,0.817707,0.819334,0.657986,0.660208,0.708396,0.709173,0.491136,0.488189,0.683954
newbalanceOrig,1.06219,1.06087,1.05694,1.06232,1.02106,1.02258,1.19822,1.19826,0.873854,0.872922,1.04292
oldbalanceDest,0.41448,0.407641,0.488524,0.483299,0.506464,0.506414,0.42255,0.416448,0.467693,0.463501,0.457701
newbalanceDest,2.43635,2.43075,1.98262,1.97167,2.58547,2.58967,2.59312,2.58612,2.38867,2.38303,2.39475
errorBalanceOrig,2.56232,2.56592,2.79073,2.7913,2.6481,2.64871,2.51788,2.52405,2.67758,2.68342,2.641
errorBalanceDest,0.352559,0.351448,1.66363,1.6645,0.362358,0.363846,0.384602,0.380871,0.323831,0.324461,0.617211
type_CASH_IN,3.62946,3.62686,3.62486,3.6212,3.57756,3.57588,3.87267,3.87089,3.26321,3.26356,3.59261
type_CASH_OUT,1.38946,1.39017,1.44648,1.44595,1.46351,1.46445,1.26072,1.26156,1.38993,1.39153,1.39038
type_DEBIT,5.72007e-05,4.9971e-05,2.91905e-05,4.15589e-05,0.026772,0.0252478,9.98612e-05,3.78704e-05,9.35044e-05,2.14771e-05,0.00524505
type_PAYMENT,0.0374941,0.0377007,0.0375802,0.038826,0.025551,0.0259753,0.0406552,0.0420316,0.0391472,0.0393235,0.0364285
type_TRANSFER,0.0379517,0.0365508,0.0352883,0.0377863,0.0255759,0.0260631,0.0420421,0.0398821,0.0396319,0.0386003,0.0359372
