feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.39189,0.390628,0.385741,0.388136,0.381411,0.382209,0.388906,0.38551,0.381893,0.383688,0.386001
amount,1.4845,1.48006,1.59259,1.59209,1.72811,1.72221,1.38512,1.38165,1.45469,1.44913,1.52702
oldbalanceOrg,0.507861,0.512192,0.536876,0.535766,0.544692,0.553782,0.471925,0.476931,0.590402,0.591644,0.532207
newbalanceOrig,2.16726,2.16648,2.10388,2.11237,2.22629,2.22094,2.19809,2.19844,2.23436,2.23031,2.18584
oldbalanceDest,1.45224,1.45614,1.29743,1.2968,1.52342,1.52607,1.6195,1.62359,1.35586,1.34985,1.45009
newbalanceDest,4.59064,4.58887,4.63212,4.63335,4.88306,4.88604,4.73565,4.73699,4.55434,4.55463,4.67957
errorBalanceOrig,4.92656,4.91467,4.92751,4.92927,5.06436,5.06258,4.73574,4.73038,4.90195,4.89764,4.90906
errorBalanceDest,0.894406,0.896311,1.06747,1.05695,0.879633,0.887472,0.839564,0.844343,1.06846,1.07926,0.951386
type_CASH_IN,4.06274,4.06807,4.20479,4.2061,4.13962,4.14294,4.17756,4.1809,4.41442,4.40751,4.20047
type_CASH_OUT,2.7527,2.74675,2.6074,2.61079,2.61957,2.62239,2.6895,2.68153,2.65493,2.65396,2.66395
type_DEBIT,0.0370272,0.0388679,0.0370677,0.0368879,0.0377207,0.0378594,0.0354343,0.0360145,0.0421912,0.0415712,0.0380642
type_PAYMENT,0.0336247,0.0367511,0.0391737,0.0362492,0.036368,0.036802,0.0381669,0.0349619,0.0398447,0.0408069,0.0372749
type_TRANSFER,0.0346744,0.0382361,0.037432,0.0378214,0.0353668,0.0363406,0.0355167,0.0396962,0.0393093,0.0388968,0.037329
