feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.355094,0.361736,0.333221,0.33226,0.342265,0.347465,0.367335,0.375352,0.350188,0.353813,0.351873
amount,1.34808,1.33954,1.44222,1.44339,1.45082,1.44589,1.32911,1.32077,1.78346,1.78099,1.46843
oldbalanceOrg,0.472014,0.478544,0.478746,0.480296,0.530046,0.528747,0.594405,0.601173,0.472186,0.478176,0.511433
newbalanceOrig,1.78045,1.77753,2.24995,2.25165,2.07488,2.07057,1.98696,1.98307,2.44215,2.43889,2.10561
oldbalanceDest,1.34867,1.35297,1.59949,1.59748,1.47029,1.47456,1.33436,1.33698,1.37803,1.37427,1.42671
newbalanceDest,4.35115,4.34604,4.81769,4.82629,4.51912,4.51609,4.65509,4.65141,5.49615,5.48915,4.76682
errorBalanceOrig,4.62545,4.6342,4.73345,4.73032,4.76436,4.7725,4.60404,4.61018,4.9876,4.99311,4.74552
errorBalanceDest,0.83559,0.833044,1.00502,1.00842,0.778929,0.777403,0.780567,0.777731,0.913636,0.90738,0.861773
type_CASH_IN,4.30364,4.31083,4.53207,4.53422,4.09889,4.10711,4.17673,4.18324,4.40182,4.40736,4.30559
type_CASH_OUT,2.55478,2.5492,2.49853,2.50219,2.6382,2.63376,2.4951,2.49169,2.53711,2.53063,2.54312
type_DEBIT,0.000171529,9.5673e-05,0.0362186,0.0342937,0.000114722,9.5756e-05,0.000121192,8.13047e-05,0.000173138,0.00011929,0.00714849
type_PAYMENT,0.0620122,0.0628706,0.0337391,0.0365601,0.0600915,0.059136,0.0594371,0.05959,0.0645695,0.0658947,0.0563901
type_TRANSFER,0.0613789,0.0600072,0.0339844,0.0325753,0.0571985,0.055995,0.0584098,0.0579332,0.0652581,0.0638326,0.0546573
