feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.781066,0.777092,0.795602,0.799103,0.81598,0.816963,0.738255,0.742958,0.821339,0.810773,0.789913
amount,3.55445,3.56137,3.67818,3.67889,3.91691,3.91786,3.27871,3.27915,3.35618,3.34967,3.55714
oldbalanceOrg,1.88235,1.88807,2.09773,2.09538,2.02227,2.0245,1.90409,1.91156,2.05112,2.04978,1.99269
newbalanceOrig,4.61001,4.61375,4.5588,4.56425,4.6058,4.59714,4.76312,4.75842,4.65333,4.64929,4.63739
oldbalanceDest,3.81267,3.80101,3.63793,3.62875,3.76179,3.75915,3.93005,3.93288,3.75732,3.7578,3.77793
newbalanceDest,5.7833,5.78886,5.94771,5.95173,6.07959,6.07845,5.95459,5.94457,5.99009,5.99237,5.95113
errorBalanceOrig,6.86222,6.85352,6.9832,6.98209,7.14012,7.14216,6.62125,6.60704,6.59232,6.58551,6.83694
errorBalanceDest,1.78019,1.78985,2.00151,1.98381,1.59832,1.60846,1.62359,1.62432,1.90007,1.92571,1.78358
type_CASH_IN,5.56391,5.56813,5.79255,5.80321,5.69935,5.7053,5.70987,5.7129,5.87953,5.87917,5.73139
type_CASH_OUT,2.36515,2.35149,2.31258,2.31353,2.29735,2.29891,2.32227,2.31906,2.31714,2.31335,2.32108
type_DEBIT,0.0582326,0.0697188,0.066674,0.0603038,0.0677489,0.065935,0.0604087,0.0604992,0.0703657,0.0680392,0.0647926
type_PAYMENT,0.0586698,0.0600126,0.0661765,0.0624174,0.0703318,0.0635627,0.0652657,0.0620232,0.0740211,0.0636397,0.064612
type_TRANSFER,0.0602303,0.0607875,0.0651626,0.0626188,0.0663359,0.0619816,0.0604094,0.0625623,0.0717036,0.0707402,0.0642532
