feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.692655,0.693797,0.709489,0.714928,0.823661,0.824516,0.68279,0.688241,0.775849,0.781017,0.738694
amount,3.38539,3.38061,3.21728,3.21672,3.33187,3.33584,3.42157,3.42004,3.84416,3.84386,3.43973
oldbalanceOrg,1.92825,1.93232,1.74631,1.74416,2.22875,2.23137,1.88034,1.88398,1.72914,1.73519,1.90398
newbalanceOrig,4.54631,4.53966,4.40577,4.40544,4.33568,4.33309,5.3462,5.34491,4.06763,4.07107,4.53958
oldbalanceDest,4.04188,4.04724,3.80519,3.80342,3.08052,3.09396,3.9928,3.99672,3.18243,3.1867,3.62309
newbalanceDest,6.67366,6.67639,5.67667,5.69305,5.1135,5.11297,6.66154,6.67069,5.66447,5.67717,5.96201
errorBalanceOrig,6.39658,6.40801,6.29471,6.28276,6.7009,6.71747,6.86678,6.85935,7.2822,7.27172,6.70805
errorBalanceDest,2.06324,2.06159,1.65791,1.66443,1.41716,1.4025,1.65893,1.66381,1.65885,1.66275,1.69112
type_CASH_IN,6.70957,6.6975,6.42384,6.42602,4.85458,4.84287,6.15011,6.15871,5.1119,5.11504,5.84902
type_CASH_OUT,2.18783,2.19189,2.03912,2.03633,2.34424,2.35749,2.29301,2.29051,2.45214,2.45008,2.26426
type_DEBIT,0.00039222,0.000197143,0.0657489,0.0636525,0.000184201,0.000126012,0.0636528,0.0637425,0.0609784,0.0591175,0.0377792
type_PAYMENT,0.141689,0.145177,0.0655477,0.0632716,0.115564,0.117887,0.0652054,0.0629442,0.0622456,0.0574422,0.0896974
type_TRANSFER,0.138061,0.135878,0.0662679,0.0635787,0.112912,0.108971,0.0662288,0.062927,0.0640179,0.0605358,0.0879379
