feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.50591,0.50591,0.50137,0.50137,0.501482,0.501482,0.503907,0.503907,0.502845,0.502845,0.503103
amount,1.54778,1.54778,1.38887,1.38887,1.32907,1.32907,1.70492,1.70492,1.69354,1.69354,1.53284
oldbalanceOrg,1.26204,1.26204,1.08447,1.08447,1.3866,1.3866,1.37526,1.37526,0.917313,0.917313,1.20514
newbalanceOrig,3.68816,3.68816,3.16241,3.16241,3.96482,3.96482,3.98116,3.98116,2.60489,2.60489,3.48029
oldbalanceDest,0.248336,0.248336,0.237016,0.237016,0.249137,0.249137,0.325215,0.325215,0.273242,0.273242,0.266589
newbalanceDest,0.0286979,0.0286979,0.0271807,0.0271807,0.0287401,0.0287401,0.0376115,0.0376115,0.0319256,0.0319256,0.0308312
errorBalanceOrig,7.23336,7.23336,6.50195,6.50195,6.06314,6.06314,7.56448,7.56448,6.79016,6.79016,6.83062
errorBalanceDest,0.910295,0.910295,0.872155,0.872155,0.659051,0.659051,0.739171,0.739171,0.800495,0.800495,0.796233
type_CASH_IN,1.64912,1.64912,1.50759,1.50759,1.24811,1.24811,1.57835,1.57835,1.2717,1.2717,1.45097
type_CASH_OUT,3.63075,3.63075,3.53192,3.53192,4.22375,4.22375,3.69664,3.69664,4.19081,4.19081,3.85477
type_DEBIT,0.075974,0.075974,0.326182,0.326182,0.075974,0.075974,0.201078,0.201078,0.201078,0.201078,0.176057
type_PAYMENT,3.87192,3.87192,4.05264,4.05264,3.9171,3.9171,3.96228,3.96228,3.78156,3.78156,3.9171
type_TRANSFER,1.75971,1.75971,1.67582,1.67582,1.50803,1.50803,1.42414,1.42414,1.9275,1.9275,1.65904
