feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,0.135251,0.135251,0.134037,0.134037,0.134067,0.134067,0.134716,0.134716,0.134432,0.134432,0.134501
amount,0.411698,0.411698,0.369429,0.369429,0.353525,0.353525,0.453499,0.453499,0.450472,0.450472,0.407725
oldbalanceOrg,0.355343,0.355343,0.305347,0.305347,0.390416,0.390416,0.387221,0.387221,0.258281,0.258281,0.339322
newbalanceOrig,0.802604,0.802604,0.688193,0.688193,0.86281,0.86281,0.866365,0.866365,0.566867,0.566867,0.757368
oldbalanceDest,0.0794887,0.0794887,0.0758656,0.0758656,0.0797453,0.0797453,0.104097,0.104097,0.0874608,0.0874608,0.0853314
newbalanceDest,0.020992,0.020992,0.0198822,0.0198822,0.0210229,0.0210229,0.0275122,0.0275122,0.023353,0.023353,0.0225525
errorBalanceOrig,1.17543,1.17543,1.05658,1.05658,0.985268,0.985268,1.22924,1.22924,1.10341,1.10341,1.10998
errorBalanceDest,0.248354,0.248354,0.237948,0.237948,0.179807,0.179807,0.201666,0.201666,0.218397,0.218397,0.217235
type_CASH_IN,2.00724,2.00724,1.83497,1.83497,1.51915,1.51915,1.92111,1.92111,1.54786,1.54786,1.76607
type_CASH_OUT,3.18832,3.18832,3.10153,3.10153,3.70906,3.70906,3.24618,3.24618,3.68013,3.68013,3.38504
type_DEBIT,0.026272,0.026272,0.112794,0.112794,0.026272,0.026272,0.0695332,0.0695332,0.0695331,0.0695331,0.0608809
type_PAYMENT,2.80308,2.80308,2.93392,2.93392,2.83579,2.83579,2.8685,2.8685,2.73767,2.73767,2.83579
type_TRANSFER,1.35116,1.35116,1.28674,1.28674,1.15791,1.15791,1.09349,1.09349,1.47999,1.47999,1.27386
