dataset,model,condition,arm,bg,explainer,deterministic,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,floor_mean,floor_min,between_mean,between_sd,delta,p_value,p_adj,n_matchings,disattenuated,weighted_between,weighted_within,max_nonzero_per_row,seed_delta_max,status,verdict,top_feature,note
baf,bert_fraud,centralized,none,local,kernel,False,1,86dc8ea477bbc0da,b3e0d335cd39bbe7,n/a (centralized,undefined,undefined,undefined,0.9999,0.9999,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,42,undefined,ok,single_client,prev_address_months_count_missing,
baf,bert_fraud,dirichlet,none,local,kernel,False,5,29b30f1f2e40e468,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9552,0.506,0.626,0.9997,0.9996,0.9552,0.0152,0.0445,0.0011,0.0015,945,0.9555,0.8682,0.9998,45,undefined,ok,clients_differ,phone_home_valid,
baf,bert_fraud,dirichlet,smote,local,kernel,False,5,9d881d4a3e7fbede,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9555,0.4103,0.494,0.9994,0.9991,0.9555,0.012,0.0439,0.0011,0.0015,945,0.9561,0.8894,0.9993,45,undefined,ok,clients_differ,income,
baf,bert_fraud,iid,none,local,kernel,False,5,60f2ea949c0fe358,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9791,0.6048,0.714,0.9999,0.9996,0.9791,0.005,0.0208,0.0011,0.0015,945,0.9792,0.9435,0.9998,46,undefined,ok,clients_differ,current_address_months_count,
baf,fedxgbllr,dirichlet,none,local,kernel,False,5,595526c1979e8a4f,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9591,0.7333,0.824,0.9971,0.9957,0.9591,0.0148,0.038,0.0011,0.0015,945,0.9619,0.9723,0.9992,45,undefined,ok,clients_differ,housing_status_BA,
baf,fedxgbllr,dirichlet,smote,local,kernel,False,5,aaeeb4a326e959bd,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9767,0.5714,0.692,0.9984,0.9962,0.9767,0.007,0.0217,0.0011,0.0015,945,0.9783,0.9679,0.9996,45,undefined,ok,clients_differ,housing_status_BA,
baf,fedxgbllr,iid,none,local,kernel,False,5,528372ea4204ab73,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.956,0.6857,0.78,0.9971,0.9938,0.956,0.017,0.041,0.0011,0.0015,945,0.9589,0.965,0.999,46,undefined,ok,clients_differ,housing_status_BA,
baf,ffd,centralized,none,local,kernel,False,1,2be379d06a02b50f,b3e0d335cd39bbe7,n/a (centralized,undefined,undefined,undefined,0.9997,0.9997,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,42,undefined,ok,single_client,prev_address_months_count_missing,
baf,ffd,dirichlet,none,local,kernel,False,5,375cb56c28c7abcc,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9685,0.8667,0.912,0.9998,0.9996,0.9685,0.0114,0.0313,0.0011,0.0015,945,0.9687,0.9634,0.9997,45,undefined,ok,clients_differ,phone_home_valid,
baf,ffd,dirichlet,smote,local,kernel,False,5,e5f5362322729942,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9673,0.8,0.868,0.9998,0.9996,0.9673,0.0092,0.0325,0.0011,0.0015,945,0.9675,0.9481,0.9996,45,undefined,ok,clients_differ,housing_status_BB,
