run_name,dataset,model,smote_arm,condition,alpha,seed,status,exit_code,wall_seconds,smote_inoperative,sub6_count,data_hash,partition_hash,rounds_completed,rounds_configured,aggregation,log
creditcard_smote_centralized_lr_ana_s42,creditcard,lr,smote,centralized,,42,success,0,7.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_smote_centralized_lr_ana_s42/run.log
creditcard_smote_iid_lr_ana_s42,creditcard,lr,smote,iid,,42,success,0,19.3,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,FedAvg,results/sweep/creditcard_smote_iid_lr_ana_s42/run.log
creditcard_smote_noniid_lr_a0.5_s42,creditcard,lr,smote,noniid,0.5,42,success,0,18.8,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,FedAvg,results/sweep/creditcard_smote_noniid_lr_a0.5_s42/run.log
creditcard_no-smote_iid_lr_ana_s42,creditcard,lr,no-smote,iid,,42,success,0,19.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,FedAvg,results/sweep/creditcard_no-smote_iid_lr_ana_s42/run.log
creditcard_no-smote_noniid_lr_a0.5_s42,creditcard,lr,no-smote,noniid,0.5,42,success,0,18.6,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,FedAvg,results/sweep/creditcard_no-smote_noniid_lr_a0.5_s42/run.log
creditcard_smote_centralized_svm_ana_s42,creditcard,svm,smote,centralized,,42,success,0,6.5,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_smote_centralized_svm_ana_s42/run.log
creditcard_smote_iid_svm_ana_s42,creditcard,svm,smote,iid,,42,success,0,18.9,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,FedAvg,results/sweep/creditcard_smote_iid_svm_ana_s42/run.log
creditcard_smote_noniid_svm_a0.5_s42,creditcard,svm,smote,noniid,0.5,42,success,0,18.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,FedAvg,results/sweep/creditcard_smote_noniid_svm_a0.5_s42/run.log
creditcard_no-smote_centralized_svm_ana_s42,creditcard,svm,no-smote,centralized,,42,success,0,6.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_no-smote_centralized_svm_ana_s42/run.log
creditcard_no-smote_iid_svm_ana_s42,creditcard,svm,no-smote,iid,,42,success,0,19.2,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,FedAvg,results/sweep/creditcard_no-smote_iid_svm_ana_s42/run.log
creditcard_no-smote_noniid_svm_a0.5_s42,creditcard,svm,no-smote,noniid,0.5,42,success,0,19.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,FedAvg,results/sweep/creditcard_no-smote_noniid_svm_a0.5_s42/run.log
creditcard_smote_centralized_gbm_ana_s42,creditcard,gbm,smote,centralized,,42,success,0,8.5,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_smote_centralized_gbm_ana_s42/run.log
creditcard_smote_iid_gbm_ana_s42,creditcard,gbm,smote,iid,,42,success,0,49.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,best-model-selection,results/sweep/creditcard_smote_iid_gbm_ana_s42/run.log
creditcard_smote_noniid_gbm_a0.5_s42,creditcard,gbm,smote,noniid,0.5,42,success,0,69.5,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,best-model-selection,results/sweep/creditcard_smote_noniid_gbm_a0.5_s42/run.log
creditcard_no-smote_centralized_gbm_ana_s42,creditcard,gbm,no-smote,centralized,,42,success,0,8.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_no-smote_centralized_gbm_ana_s42/run.log
creditcard_no-smote_iid_gbm_ana_s42,creditcard,gbm,no-smote,iid,,42,success,0,49.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,best-model-selection,results/sweep/creditcard_no-smote_iid_gbm_ana_s42/run.log
creditcard_no-smote_noniid_gbm_a0.5_s42,creditcard,gbm,no-smote,noniid,0.5,42,success,0,59.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,best-model-selection,results/sweep/creditcard_no-smote_noniid_gbm_a0.5_s42/run.log
creditcard_smote_centralized_ffd_ana_s42,creditcard,ffd,smote,centralized,,42,success,0,95.6,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_smote_centralized_ffd_ana_s42/run.log
creditcard_smote_iid_ffd_ana_s42,creditcard,ffd,smote,iid,,42,success,0,158.8,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_smote_iid_ffd_ana_s42/run.log
creditcard_smote_noniid_ffd_a0.5_s42,creditcard,ffd,smote,noniid,0.5,42,success,0,289.1,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_smote_noniid_ffd_a0.5_s42/run.log
creditcard_no-smote_centralized_ffd_ana_s42,creditcard,ffd,no-smote,centralized,,42,success,0,83.8,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_no-smote_centralized_ffd_ana_s42/run.log
creditcard_no-smote_iid_ffd_ana_s42,creditcard,ffd,no-smote,iid,,42,success,0,158.1,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_no-smote_iid_ffd_ana_s42/run.log
creditcard_no-smote_noniid_ffd_a0.5_s42,creditcard,ffd,no-smote,noniid,0.5,42,success,0,289.2,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_no-smote_noniid_ffd_a0.5_s42/run.log
creditcard_smote_centralized_bert_fraud_ana_s42,creditcard,bert_fraud,smote,centralized,,42,success,0,323.9,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_smote_centralized_bert_fraud_ana_s42/run.log
