arm,model,n,auprc,weight
smote,bert_fraud,"395,247",0.0692,0.2943
smote,bert_fraud,"395,247",0.2117,0.54
smote,bert_fraud,"395,247",0.6187,0.7767
smote,bert_fraud,"395,247",0.5848,0.7693
smote,bert_fraud,"395,247",0.6968,0.7948
smote,bert_fraud,"395,247",0.7409,0.8045
smote,bert_fraud,"395,247",0.6075,0.7881
smote,bert_fraud,"395,247",0.6131,0.7777
smote,bert_fraud,"395,247",0.818,0.8284
smote,bert_fraud,"395,247",0.7157,0.8077
smote,bert_fraud,"395,247",0.8924,0.841
smote,bert_fraud,"395,247",0.9578,0.8567
smote,bert_fraud,"395,247",0.9742,0.8624
smote,bert_fraud,"395,247",0.8514,0.8415
smote,bert_fraud,"395,247",0.9581,0.8645
smote,bert_fraud,"395,247",0.9803,0.8669
smote,bert_fraud,"395,247",0.9477,0.8671
smote,bert_fraud,"395,247",0.6647,0.8099
smote,bert_fraud,"395,247",0.7204,0.8237
smote,bert_fraud,"395,247",0.8608,0.8521
smote,ffd,"395,247",0.0184,0.1312
smote,ffd,"395,247",0.0449,0.2275
smote,ffd,"395,247",0.0743,0.3145
smote,ffd,"395,247",0.1465,0.4636
smote,ffd,"395,247",0.2876,0.6261
smote,ffd,"395,247",0.4678,0.7318
smote,ffd,"395,247",0.6626,0.7938
smote,ffd,"395,247",0.8208,0.8267
smote,ffd,"395,247",0.8988,0.839
smote,ffd,"395,247",0.9447,0.8455
smote,ffd,"395,247",0.9746,0.8481
smote,ffd,"395,247",0.9838,0.8489
smote,ffd,"395,247",0.9918,0.8494
smote,ffd,"395,247",0.9956,0.849
smote,ffd,"395,247",0.9956,0.8481
smote,ffd,"395,247",0.9978,0.8479
smote,ffd,"395,247",1.0,0.8466
smote,ffd,"395,247",1.0,0.8461
smote,ffd,"395,247",1.0,0.8451
smote,ffd,"395,247",1.0,0.845
no-smote,bert_fraud,"391,355",0.0001,0.0005
no-smote,bert_fraud,"391,355",0.0032,0.0181
no-smote,bert_fraud,"391,355",0.0029,0.0152
no-smote,bert_fraud,"391,355",0.0024,0.0123
no-smote,bert_fraud,"391,355",0.0502,0.2086
no-smote,bert_fraud,"391,355",0.0116,0.0559
no-smote,bert_fraud,"391,355",0.0047,0.0233
no-smote,bert_fraud,"391,355",0.0058,0.0277
no-smote,bert_fraud,"391,355",0.0154,0.0705
no-smote,bert_fraud,"391,355",0.0187,0.084
no-smote,bert_fraud,"391,355",0.0091,0.0424
no-smote,bert_fraud,"391,355",0.0139,0.0628
no-smote,bert_fraud,"391,355",0.0543,0.2049
no-smote,bert_fraud,"391,355",0.0097,0.0452
no-smote,bert_fraud,"391,355",0.0498,0.1903
no-smote,bert_fraud,"391,355",0.0285,0.1193
no-smote,bert_fraud,"391,355",0.0052,0.0236
no-smote,bert_fraud,"391,355",0.0515,0.1962
no-smote,bert_fraud,"391,355",0.0516,0.1979
no-smote,bert_fraud,"391,355",0.0166,0.0731
no-smote,ffd,"391,355",0.0003,0.002
no-smote,ffd,"391,355",0.0022,0.0141
no-smote,ffd,"391,355",0.005,0.0294
no-smote,ffd,"391,355",0.0048,0.0274
no-smote,ffd,"391,355",0.0034,0.0193
no-smote,ffd,"391,355",0.0033,0.0181
no-smote,ffd,"391,355",0.0033,0.018
no-smote,ffd,"391,355",0.0032,0.0174
no-smote,ffd,"391,355",0.0035,0.0183
no-smote,ffd,"391,355",0.0036,0.0187
no-smote,ffd,"391,355",0.0036,0.0184
no-smote,ffd,"391,355",0.0034,0.0176
no-smote,ffd,"391,355",0.0035,0.0178
no-smote,ffd,"391,355",0.0034,0.017
no-smote,ffd,"391,355",0.0037,0.0181
no-smote,ffd,"391,355",0.0038,0.0187
no-smote,ffd,"391,355",0.0038,0.0186
no-smote,ffd,"391,355",0.004,0.0194
no-smote,ffd,"391,355",0.004,0.0192
no-smote,ffd,"391,355",0.0041,0.0191
